model,class,precision,recall,f1,support
Rules only,normal,0.632688927943761,1.0,0.77502691065662,360
Rules only,insider_drift,0.0,0.0,0.0,48
Rules only,credential_misuse,0.0,0.0,0.0,48
Rules only,slow_evasion,0.0,0.0,0.0,48
Rules only,privilege_abuse,1.0,0.020833333333333332,0.04081632653061224,48
Rules only,replay,0.0,0.0,0.0,48
Logistic regression,normal,0.9209809264305178,0.9388888888888889,0.9298486932599724,360
Logistic regression,insider_drift,0.20304568527918782,0.8333333333333334,0.32653061224489793,48
Logistic regression,credential_misuse,0.09375,0.0625,0.075,48
Logistic regression,slow_evasion,0.0,0.0,0.0,48
Logistic regression,privilege_abuse,1.0,0.0625,0.11764705882352941,48
Logistic regression,replay,1.0,0.020833333333333332,0.04081632653061224,48
Gradient boosting,normal,0.9862637362637363,0.9972222222222222,0.9917127071823204,360
Gradient boosting,insider_drift,1.0,0.5,0.6666666666666666,48
Gradient boosting,credential_misuse,0.9787234042553191,0.9583333333333334,0.968421052631579,48
Gradient boosting,slow_evasion,0.6714285714285714,0.9791666666666666,0.7966101694915254,48
Gradient boosting,privilege_abuse,1.0,0.9583333333333334,0.9787234042553191,48
Gradient boosting,replay,0.9795918367346939,1.0,0.9896907216494846,48
SENTINEL scorer,normal,0.9889807162534435,0.9972222222222222,0.9930843706777317,360
SENTINEL scorer,insider_drift,1.0,0.5416666666666666,0.7027027027027027,48
SENTINEL scorer,credential_misuse,1.0,0.9791666666666666,0.9894736842105263,48
SENTINEL scorer,slow_evasion,0.6714285714285714,0.9791666666666666,0.7966101694915254,48
SENTINEL scorer,privilege_abuse,1.0,0.9583333333333334,0.9787234042553191,48
SENTINEL scorer,replay,1.0,1.0,1.0,48
